"34","Lacuna","라쿠나",,,"2FDl06nCrSYpA1n9PLZfen","https://i.scdn.co/image/ab6761610000e5ebd1c9885bab58d5e01050e5a5"
"35","CHEEZE","치즈",,,"6NdzNrBP8Jbhzp6h7yojht","https://i.scdn.co/image/ab6761610000e5eb859c35c6ba7099d4d447a5ac"
"36","김현창",,,"멜론 기준 최신곡: 나 잠깐 잠들어 있을게요","2IEHO7wbuUKxOVkMKaT5KB","https://i.scdn.co/image/ab6761610000e5ebe3dabe0bbb281796c26254c1"
"37","볼빨간사춘기",,,,"4k5fFEYgkWYrYvtOK3zVBl","https://i.scdn.co/image/ab6761610000e5eb0993fa249f7776f353a1fbc9"
"38","스텔라장","Stella Jang",,,"2Y9AUayH5pyZpVfkDYDfJV","https://i.scdn.co/image/ab6761610000e5ebd8d5d7125f4fbe0dea0b4646"
"39","민수",,,,"1o13ZguNtAOcOe1k0chkta","https://i.scdn.co/image/ab6761610000e5eb4513ac981c611739e584c979"
"40","다섯","Dasutt",,,"3txAiGYUmI4p84stqOoi1s","https://i.scdn.co/image/ab6761610000e5eb8fa46d286c0342ecfe0b3bed"
"41","델리스파이스","Delispice",,,"3zH8Xu8C1GnnmfpBqzdLPf","https://i.scdn.co/image/ab67616d0000b2739ee364d7aacc7ae61af96b2b"
"42","소수빈",,,,"5ghNwcHNesKq0Q3zfK39ic","https://i.scdn.co/image/ab6761610000e5eb3e3ade33f30ea1ec2f3609b6"
"43","가을방학",,,,"6OSMGFNb20nNBw4a2vWxMT","https://i.scdn.co/image/ab67616d0000b27368fa39ca08f66160e41bd249"
"44","신인류",,,,"1HBeN73z1CZ0E58rEIeozp","https://i.scdn.co/image/ab6761610000e5eb518125349cc8ae73b7660aab"
"45","dosii","도시",,,"41lcf5k3PkUdxupYLkcjCd","https://i.scdn.co/image/ab6761610000e5ebfe1ee43e145b68579ff151de"
"46","보수동쿨러",,,,"7zhojNyxff5HeS5mIgUVmU","https://i.scdn.co/image/ab6761610000e5eba521fe9447efe8563eb4f4e7"
"47","이고도",,,,"18r9qka1AKwgqzUzaLdxhm","https://i.scdn.co/image/ab67616d0000b273d4aab865cb557b09a360a85e"
"48","결","KYUL",,,"10LaysU4hUTEGtWwC0Zbrm","https://i.scdn.co/image/ab6761610000e5eb59d0911c8d51ce09d876296d"
"49","정우",,,"멜론 기준 최신곡: Toss and turn","3tvnuk98r2VOv9ygTK8cjs","https://i.scdn.co/image/ab6761610000e5eb19f09617041fcf4561939c05"
"50","유라","youra",,"멜론 기준 최신곡: 무수히(Countlessly)","5q9adPv91NFr8q2ZcKmX0V","https://i.scdn.co/image/ab6761610000e5ebfdb3bca813828b497b0577a3"
"51","리도어","Redoor",,,"5xhi1KB7WkPiTYb5Fm3YvS","https://i.scdn.co/image/ab6761610000e5ebebdbb5a07c91ddfae8669066"
"52","스탠딩에그","Standing Egg",,,"6a3Mfrn2XBR1DfPg1QGa1d","https://i.scdn.co/image/ab6761610000e5eb14594640c19d2a08970479ea"
"53","넬","NELL",,,"5WY88tCMFA6J6vqSN3MmDZ","https://i.scdn.co/image/ab6761610000e5eb7ef39e8e41cfceaa7bea3153"
"54","소란","SORAN",,,"7eZGd0sv1TxpOwzyKc9P4R","https://i.scdn.co/image/ab6761610000e5eb15a46274cd2b27949919f4ec"
"55","O.O.O","오오오","OOO",,"0YMpM4y1fUUHhBLFnYVOaD","https://i.scdn.co/image/ab67616d0000b273422177edd214cf05a5f410a9"
"56","오월오일","OWALLOIL",,,"59THIwTnvgT7SeGFzocky2","https://i.scdn.co/image/ab67616d0000b2733b4beaaf1f8214b6258f15aa"
"57","경제환",,,,"23SggfMMPHFR2lJaPCVIUw","https://i.scdn.co/image/ab6761610000e5eb44d3d1c7549b932e47cde1e8"
