"75","Plain Jane","1","6WY1LezPoU52ucPRuabple","https://i.scdn.co/image/ab67616d0000b273ef2140e489618befb71dd9da","Good Luck To You, Girl Scout!","2021-04-30","6"
"76","어떤 날","1","4Kt9W29N0fA23dQ81dWwQD","https://i.scdn.co/image/ab67616d0000b273b2867db374a53ed8261010a1","로맨스는 별책부록 OST Part.5","2019-03-03","1"
"77","어떤 날 (Inst.) (Instrumental)","1","3pBsq8ZRQAFl8DMeXDQaiM","https://i.scdn.co/image/ab67616d0000b273b2867db374a53ed8261010a1","로맨스는 별책부록 OST Part.5","2019-03-03","2"
"78","기다린 만큼, 더","1","03YtYSkpHqqY3EBmHJkTjP","https://i.scdn.co/image/ab67616d0000b273182cbc21b48737ef5def008e","또 오해영, Pt. 7 (Original Television Soundtrack)","2016-06-14","1"
"79","기다린 만큼, 더 - Instrumental","1","4GuDUqI1xXRyBfwmDSK3zz","https://i.scdn.co/image/ab67616d0000b273182cbc21b48737ef5def008e","또 오해영, Pt. 7 (Original Television Soundtrack)","2016-06-14","2"
"80","내 고향 서울엔","1","56qEQ2gOItmTCcIEuzgJOq","https://i.scdn.co/image/ab67616d0000b273b48bb0ddd4e8adf442afa894","내 고향 서울엔","2016-03-15","1"
"81","EVERYTHING","1","4vb7g4GrE9cOrhEzUWadN8","https://i.scdn.co/image/ab67616d0000b273bb618bed3e1968998ab66c0e","EVERYTHING","2016-01-29","1"
"82","Hollywood","1","3XPD2voMhtskeDqtClsbaU","https://i.scdn.co/image/ab67616d0000b273727a6cf7a1ac8b8ac2935c9e","Hollywood","2015-04-09","1"
"83","슬픈노래는 부르지 않을거야","1","54hu7FzinKggS8rf9HSqlb","https://i.scdn.co/image/ab67616d0000b273bf9896b89869e1a7373c4367","The Artist (조덕배 25주년 기념앨범 Part.1)","2009-12-07","1"
"84","뒷모습이 참 예쁘네요 (feat. 키비)","1","5g8sEDBb0ODwBRMMNknD5E","https://i.scdn.co/image/ab67616d0000b273bf9896b89869e1a7373c4367","The Artist (조덕배 25주년 기념앨범 Part.1)","2009-12-07","2"
"85","환상의 나라","2","2MFhkN2j6gxx2SPgjkDQmv","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","1"
"86","용맹한 발걸음이여","2","0s2aODxs1y7dRsMsP5egtb","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","2"
"87","비틀 파워!","2","4Kzf9dzS7JNg6wUucGfiIq","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","3"
"88","고백극장","2","3FDsN0SBOVMQMsYN96tOVU","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","4"
"89","로맨스의 왕","2","2rmMtsZVXTTWiQJSvXBSwt","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","5"
"90","페어웰 투 암스! + 요람 송가","2","4pvzUPBs3H2T2fNTdziMqs","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","6"
"91","소년 클레이 피전","2","7BEAs4WF36qITOLF7Jw7rf","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","7"
"92","누구를 위한 노래였던가","2","04TRSBcNofjdtyVGqsH7ij","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","8"
"93","밤의 공원","2","1MtLs4Z7UeaGArSWPKMpAA","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","9"
"94","외딴섬 로맨틱","2","3N0gL4EypJfzJ6txDnIrDS","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","10"
"95","블루버드, 스프레드 유어 윙스!","2","0BE3Glcxjo0zNmTzfMyfkX","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","11"
"96","굿바이 환상의 나라","2","0exJLLwBsJZuPu8zQ4y0GG","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","12"
"97","컴백홈","2","7x05r7Fb67Qkk8G7sKPPyz","https://i.scdn.co/image/ab67616d0000b2737e785ea97b7d8d2eb8db4155","환상의 나라","2021-07-28","13"
"98","나의 기쁨 나의 노래 (Intro)","2","6qpEu4YIoPzFjhXq8WTXCC","https://i.scdn.co/image/ab67616d0000b273f694adfa02990eaca79fec1b","전설","2019-03-13","1"
"99","투게더!","2","5mrIZ0lvgFr5wnrYbzV0C1","https://i.scdn.co/image/ab67616d0000b273f694adfa02990eaca79fec1b","전설","2019-03-13","2"
"100","조이풀 조이풀","2","2oTDvoEuxCj33rFL9u5Xum","https://i.scdn.co/image/ab67616d0000b273f694adfa02990eaca79fec1b","전설","2019-03-13","3"
"101","거울","2","6lEvp0pS6rqCpdsbvOaRaC","https://i.scdn.co/image/ab67616d0000b273f694adfa02990eaca79fec1b","전설","2019-03-13","4"
"102","우리 애는요","2","3glUhrBDHoDK35nQAawNBK","https://i.scdn.co/image/ab67616d0000b273f694adfa02990eaca79fec1b","전설","2019-03-13","5"
"103","DOLMARO","2","0NfiN84B533YRgbGko6RQy","https://i.scdn.co/image/ab67616d0000b273f694adfa02990eaca79fec1b","전설","2019-03-13","6"
"104","전설","2","71BlPUFrHUvQOg36AvOyZI","https://i.scdn.co/image/ab67616d0000b273f694adfa02990eaca79fec1b","전설","2019-03-13","7"
"105","주저하는 연인들을 위해","2","5BqwC9kOBbqYkzdOKeXFFk","https://i.scdn.co/image/ab67616d0000b273f694adfa02990eaca79fec1b","전설","2019-03-13","8"
"106","신나는 잠","2","6INYE0DoIzVvnEUu7Pw4Bw","https://i.scdn.co/image/ab67616d0000b273f694adfa02990eaca79fec1b","전설","2019-03-13","9"
"107","나쁜 꿈","2","0EtiFHvYwpcaxYC5Y0EHTm","https://i.scdn.co/image/ab67616d0000b273f694adfa02990eaca79fec1b","전설","2019-03-13","10"
"108","새 어둠 새 눈","2","2d87kHwM5YByBhsU8qCDWg","https://i.scdn.co/image/ab67616d0000b273f694adfa02990eaca79fec1b","전설","2019-03-13","11"
"109","꿈과 책과 힘과 벽","2","1deQhoZakgMT5fw0t9zliD","https://i.scdn.co/image/ab67616d0000b273f694adfa02990eaca79fec1b","전설","2019-03-13","12"
"110","GOODNIGHT (INTRO)","2","4MAMn2twjZR03xvTKAEth9","https://i.scdn.co/image/ab67616d0000b273847b562f6711f072dd2b11a6","MONKEY HOTEL","2016-08-04","1"
"111","뜨거운 여름밤은 가고 남은 건 볼품없지만","2","4JmRth9mDEINhUNIpDYLQi","https://i.scdn.co/image/ab67616d0000b273847b562f6711f072dd2b11a6","MONKEY HOTEL","2016-08-04","2"
"112","SURPRISE!","2","5CievkVz0QepORWuOsFHiu","https://i.scdn.co/image/ab67616d0000b273847b562f6711f072dd2b11a6","MONKEY HOTEL","2016-08-04","3"
"113","WISH","2","45DQky9bZx5AFq5kgMYAZo","https://i.scdn.co/image/ab67616d0000b273847b562f6711f072dd2b11a6","MONKEY HOTEL","2016-08-04","4"
"114","THE SECRET OF HARD ROCK","2","3oQTPZvARiluAJQdbTCV0n","https://i.scdn.co/image/ab67616d0000b273847b562f6711f072dd2b11a6","MONKEY HOTEL","2016-08-04","5"
"115","HONG KONG","2","05Udoqtxi9KgqSMnV5OPpQ","https://i.scdn.co/image/ab67616d0000b273847b562f6711f072dd2b11a6","MONKEY HOTEL","2016-08-04","6"
"116","꿈나라 별나라","2","2kuxMt9uBIJ63li6NQWhlU","https://i.scdn.co/image/ab67616d0000b273847b562f6711f072dd2b11a6","MONKEY HOTEL","2016-08-04","7"
"117","JUNGLE","2","2wFmUoCn1z1BFxUjUtW0Lc","https://i.scdn.co/image/ab67616d0000b273847b562f6711f072dd2b11a6","MONKEY HOTEL","2016-08-04","8"
"118","MONKEY HOTEL (FINALE)","2","4QY9yXvnZbvWL4boDFCjeN","https://i.scdn.co/image/ab67616d0000b273847b562f6711f072dd2b11a6","MONKEY HOTEL","2016-08-04","9"
"119","왕눈이 왈츠 (BONUS TRACK)","2","3cwBrp9XRLOcwhuhpzAqA0","https://i.scdn.co/image/ab67616d0000b273847b562f6711f072dd2b11a6","MONKEY HOTEL","2016-08-04","10"
"120","pony","2","6pZIsf4z5iFsueGtlHn35V","https://i.scdn.co/image/ab67616d0000b273015d8c96fa981b3164837262","pony","2023-06-21","1"
"121","pony (sketch ver.)","2","41YRQMvqBqNZVedPcEhHhW","https://i.scdn.co/image/ab67616d0000b273015d8c96fa981b3164837262","pony","2023-06-21","2"
"122","도포자락 휘날리며 (Original Television Soundtrack) - LOOK AT YOU!","2","7dsbpv6MfydEILF8c2NUCU","https://i.scdn.co/image/ab67616d0000b2738a7bd6498680f4674d7ff1b4","도포자락 휘날리며 (Original Television Soundtrack) - LOOK AT YOU!","2022-07-10","1"
"123","레이디버드","2","4VW2faw4vUjufimoFzMzbI","https://i.scdn.co/image/ab67616d0000b273d5ec29336fb4149aa658aa6d","잔나비 소곡집 ll : 초록을거머쥔우리는","2022-05-10","1"
"124","초록을거머쥔우리는","2","6hHjsUiAuUcTtsvDXFvPFk","https://i.scdn.co/image/ab67616d0000b273d5ec29336fb4149aa658aa6d","잔나비 소곡집 ll : 초록을거머쥔우리는","2022-05-10","2"
"125","여름가을겨울 봄.","2","51iiXRaEmvYczLJwZDR2Ql","https://i.scdn.co/image/ab67616d0000b273d5ec29336fb4149aa658aa6d","잔나비 소곡집 ll : 초록을거머쥔우리는","2022-05-10","3"
"126","슬픔이여안녕","2","2rOA9vEsnpNB6L5XgmibKn","https://i.scdn.co/image/ab67616d0000b273d5ec29336fb4149aa658aa6d","잔나비 소곡집 ll : 초록을거머쥔우리는","2022-05-10","4"
"127","For the Peace of All Mankind","2","1cyFIg8G9aa16RED09sPDE","https://i.scdn.co/image/ab67616d0000b27357aa8ede7de3cd163132c771","비긴어게인 오픈마이크 Episode.29","2022-02-19","1"
"128","한밤의 뮤직 (노브레인25주년 Pt. 2)","2","5S5gAzpx2MvbzTQEqhwEVv","https://i.scdn.co/image/ab67616d0000b273b2e9b45cb3227cb7b08b7882","한밤의 뮤직 (노브레인25주년 Pt. 2)","2021-10-29","1"
"129","소란한 밤을 지나","2","5KaT0MzrFAu4VA8SkgqBju","https://i.scdn.co/image/ab67616d0000b273ad2b5ce9fa4721db99c2c3c2","러브 스포일러 (Original Television Soundtrack) [from ""드라마 스테이지 2021""]","2021-03-24","1"
"130","소란한 밤을 지나 - Instrumental","2","7Bw9EpeYUJL5PS3CvgzZlw","https://i.scdn.co/image/ab67616d0000b273ad2b5ce9fa4721db99c2c3c2","러브 스포일러 (Original Television Soundtrack) [from ""드라마 스테이지 2021""]","2021-03-24","2"
"131","가을밤에 든 생각","2","4YaKlkNVJNbrIqN82EKFsQ","https://i.scdn.co/image/ab67616d0000b273834e69858ed0f1b4ccbe0188","잔나비 소곡집 l","2020-11-06","1"
"132","한걸음","2","5n2VlYCe6kW5Vv2Vg7aN8C","https://i.scdn.co/image/ab67616d0000b273834e69858ed0f1b4ccbe0188","잔나비 소곡집 l","2020-11-06","2"
"133","그 밤 그 밤","2","49bu8WZAthRnScNwkT9tIC","https://i.scdn.co/image/ab67616d0000b273834e69858ed0f1b4ccbe0188","잔나비 소곡집 l","2020-11-06","3"
"134","늙은 개","2","1bDRX9v4BFGjCS2CENBRNQ","https://i.scdn.co/image/ab67616d0000b273834e69858ed0f1b4ccbe0188","잔나비 소곡집 l","2020-11-06","4"
"135","작전명 청-춘!","2","2C39KrMvf6G2EMIx7uC7ub","https://i.scdn.co/image/ab67616d0000b273834e69858ed0f1b4ccbe0188","잔나비 소곡집 l","2020-11-06","5"
"136","나는 볼 수 없던 이야기","2","4SPZfnF7tn4Sfcv3iTjKCu","https://i.scdn.co/image/ab67616d0000b273867a6ed80475815042dbf851","로맨스는 별책부록 OST Part.1","2019-02-03","1"
"137","나는 볼 수 없던 이야기 (Inst.) (Instrumental)","2","2gWhI5qs1hx9VrCzmFyqbb","https://i.scdn.co/image/ab67616d0000b273867a6ed80475815042dbf851","로맨스는 별책부록 OST Part.1","2019-02-03","2"
"138","처음 만날때처럼","2","7Fd2iYx4Ilq1lzAQKUpLaj","https://i.scdn.co/image/ab67616d0000b2733189965f5b64524a28b6c3c7","처음 만날때처럼","2019-01-25","1"
"139","처음 만날때처럼 - Instrumental","2","3iFE8aIpD3KxDxR12E9kbf","https://i.scdn.co/image/ab67616d0000b2733189965f5b64524a28b6c3c7","처음 만날때처럼","2019-01-25","2"
"140","Made In Christmas (feat. 이수현 of 악동뮤지션)","2","0scspKlWoNrETIyJMk7yga","https://i.scdn.co/image/ab67616d0000b273697a6f2195a3b4725404b061","Made In Christmas (feat. 이수현)","2018-12-21","1"
"141","Good Boy Twist","2","5ONvPvTXMy9E8pVnI8RhzM","https://i.scdn.co/image/ab67616d0000b273bfb54ae0705e0739881def1a","Good Boy Twist","2018-08-13","1"
"142","She (Hidden Track No.V 1월 선정곡)","2","57rt6Jj7woE21ae3Ml2vw8","https://i.scdn.co/image/ab67616d0000b273615b48f798ecc4786c6ea09d","She","2017-09-09","1"
"143","웃어도 될까요","2","6pRttU6Uci0IvRb1zwVazj","https://i.scdn.co/image/ab67616d0000b2735f4acf9723395f91ce0a9b51","혼술남녀, Pt. 2 (Original Television Soundtrack)","2016-09-19","1"
